Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;9.567;-;-;9.567;-;-
Wählende;7.607;79,5 %;+93;7.607;79,5 %;+93
Ungültige Stimmen;90;1,2 %;+02;47;0,6 %;-02
Gültige Stimmen;7.517;98,8 %;-02;7.560;99,4 %;+02
SPD;3.200;42,6 %;+122;2.772;36,7 %;+108
AfD;1.787;23,8 %;+52;1.640;21,7 %;+31
CDU;1.204;16,0 %;-00;933;12,3 %;-21
GRÜNE/B 90;296;3,9 %;-88;441;5,8 %;-99
DIE LINKE;428;5,7 %;-59;275;3,6 %;-78
BVB / FREIE WÄHLER;429;5,7 %;-07;146;1,9 %;-27
FDP;71;0,9 %;-30;54;0,7 %;-43
Tierschutzpartei;-;-;-;161;2,1 %;-07
Plus;-;-;-;63;0,8 %;-03
BSW;-;-;-;1.013;13,4 %;+134
III. Weg;-;-;-;11;0,1 %;+01
DKP;41;0,5 %;+03;9;0,1 %;+01
DLW;-;-;-;16;0,2 %;+02
WU;-;-;-;26;0,3 %;+03
EB Schamberger;61;0,8 %;+08;-;-;-
