Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;709;-;-;709;-;-
Wählende;345;48,7 %;-;345;48,7 %;-
Ungültige Stimmen;3;0,9 %;-;3;0,9 %;-
Gültige Stimmen;342;99,1 %;-;342;99,1 %;-
SPD;98;28,7 %;-;80;23,4 %;-
AfD;165;48,2 %;-;153;44,7 %;-
CDU;41;12,0 %;-;34;9,9 %;-
GRÜNE/B 90;1;0,3 %;-;7;2,0 %;-
DIE LINKE;13;3,8 %;-;12;3,5 %;-
BVB / FREIE WÄHLER;15;4,4 %;-;9;2,6 %;-
FDP;6;1,8 %;-;2;0,6 %;-
Tierschutzpartei;-;-;-;11;3,2 %;-
Plus;-;-;-;1;0,3 %;-
BSW;-;-;-;32;9,4 %;-
III. Weg;3;0,9 %;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;1;0,3 %;-
