Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;888;-;-;888;-;-
Wählende;344;38,7 %;-;344;38,7 %;-
Ungültige Stimmen;5;1,5 %;-;3;0,9 %;-
Gültige Stimmen;339;98,5 %;-;341;99,1 %;-
SPD;77;22,7 %;-;85;24,9 %;-
AfD;157;46,3 %;-;149;43,7 %;-
CDU;47;13,9 %;-;28;8,2 %;-
GRÜNE/B 90;5;1,5 %;-;6;1,8 %;-
DIE LINKE;18;5,3 %;-;10;2,9 %;-
BVB / FREIE WÄHLER;32;9,4 %;-;8;2,3 %;-
FDP;3;0,9 %;-;3;0,9 %;-
Tierschutzpartei;-;-;-;9;2,6 %;-
Plus;-;-;-;1;0,3 %;-
BSW;-;-;-;41;12,0 %;-
III. Weg;-;-;-;1;0,3 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
