Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;9.838;-;-;9.838;-;-
Wählende;6.939;70,5 %;+130;6.939;70,5 %;+130
Ungültige Stimmen;97;1,4 %;+03;62.0;0,9 %;-00
Gültige Stimmen;6.842;98,6 %;-03;6.877;99,1 %;+00
SPD;2.381;34,8 %;+83;2.021;29,4 %;+20
AfD;2.259;33,0 %;+120;1.987;28,9 %;+72
CDU;940;13,7 %;+36;686.0;10,0 %;-02
GRÜNE/B 90;157;2,3 %;-78;256.0;3,7 %;-63
DIE LINKE;487;7,1 %;-138;264.0;3,8 %;-128
BVB / FREIE WÄHLER;338;4,9 %;-40;132.0;1,9 %;-43
FDP;69;1,0 %;-15;50.0;0,7 %;-24
Tierschutzpartei;-;-;-;158.0;2,3 %;-06
Plus;211;3,1 %;+31;106.0;1,5 %;+01
BSW;-;-;-;1.173;17,1 %;+171
III. Weg;-;-;-;9.0;0,1 %;+01
DKP;-;-;-;6.0;0,1 %;+01
DLW;-;-;-;16.0;0,2 %;+02
WU;-;-;-;13.0;0,2 %;+02
