Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.037;-;-;1.037;-;-
Wählende;398;38,4 %;-;398;38,4 %;-
Ungültige Stimmen;0;0,0 %;-;0;0,0 %;-
Gültige Stimmen;398;100,0 %;-;398;100,0 %;-
SPD;129;32,4 %;-;123;30,9 %;-
AfD;158;39,7 %;-;147;36,9 %;-
CDU;32;8,0 %;-;23;5,8 %;-
GRÜNE/B 90;6;1,5 %;-;12;3,0 %;-
DIE LINKE;44;11,1 %;-;36;9,0 %;-
BVB / FREIE WÄHLER;23;5,8 %;-;10;2,5 %;-
FDP;3;0,8 %;-;1;0,3 %;-
Tierschutzpartei;-;-;-;8;2,0 %;-
Plus;-;-;-;2;0,5 %;-
BSW;-;-;-;32;8,0 %;-
III. Weg;-;-;-;1;0,3 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;3;0,8 %;-
WU;-;-;-;0;0,0 %;-
dieBasis;3;0,8 %;-;-;-;-
