Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;197;-;-;197;-;-
Wählende;133;67,5 %;-;133;67,5 %;-
Ungültige Stimmen;2;1,5 %;-;1;0,8 %;-
Gültige Stimmen;131;98,5 %;-;132;99,2 %;-
SPD;30;22,9 %;-;27;20,5 %;-
AfD;62;47,3 %;-;60;45,5 %;-
CDU;17;13,0 %;-;15;11,4 %;-
GRÜNE/B 90;2;1,5 %;-;0;0,0 %;-
DIE LINKE;2;1,5 %;-;1;0,8 %;-
BVB / FREIE WÄHLER;11;8,4 %;-;7;5,3 %;-
FDP;1;0,8 %;-;1;0,8 %;-
Tierschutzpartei;6;4,6 %;-;2;1,5 %;-
Plus;-;-;-;1;0,8 %;-
BSW;-;-;-;16;12,1 %;-
III. Weg;-;-;-;1;0,8 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;0,8 %;-
WU;-;-;-;0;0,0 %;-
