Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;792;-;-;792;-;-
Wählende;390;49,2 %;-;390;49,2 %;-
Ungültige Stimmen;9;2,3 %;-;2;0,5 %;-
Gültige Stimmen;381;97,7 %;-;388;99,5 %;-
SPD;115;30,2 %;-;96;24,7 %;-
AfD;154;40,4 %;-;146;37,6 %;-
CDU;53;13,9 %;-;37;9,5 %;-
GRÜNE/B 90;15;3,9 %;-;21;5,4 %;-
DIE LINKE;14;3,7 %;-;11;2,8 %;-
BVB / FREIE WÄHLER;27;7,1 %;-;8;2,1 %;-
FDP;3;0,8 %;-;2;0,5 %;-
Tierschutzpartei;-;-;-;9;2,3 %;-
Plus;-;-;-;4;1,0 %;-
BSW;-;-;-;48;12,4 %;-
III. Weg;-;-;-;1;0,3 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;0,3 %;-
WU;-;-;-;4;1,0 %;-
