Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;141;-;-;141;-;-
Wählende;106;75,2 %;-;106;75,2 %;-
Ungültige Stimmen;7;6,6 %;-;2;1,9 %;-
Gültige Stimmen;99;93,4 %;-;104;98,1 %;-
SPD;34;34,3 %;-;33;31,7 %;-
AfD;54;54,5 %;-;45;43,3 %;-
CDU;4;4,0 %;-;2;1,9 %;-
GRÜNE/B 90;1;1,0 %;-;2;1,9 %;-
DIE LINKE;4;4,0 %;-;0;0,0 %;-
BVB / FREIE WÄHLER;2;2,0 %;-;1;1,0 %;-
FDP;0;0,0 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;1;1,0 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;18;17,3 %;-
III. Weg;-;-;-;1;1,0 %;-
DKP;0;0,0 %;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;1;1,0 %;-
